author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date
@greg1288;Jadi pada dasarnya tidak ada yang berubah kecuali lubang punch yang sudah dimiliki Android selama hampir satu dekade ??;negatif;2024-11-01T20:17:18Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@TNLU_D;Mereka ingin menjadi Samsung begitu buruk ??;negatif;2024-11-01T20:12:59Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@franksogbo6240;Video ini sangat bodoh bagi saya. Video ini digunakan untuk menipu orang yang tidak tahu apa-apa tentang iPhone. Berhentilah membuat video ini atau seseorang mungkin akan menggugat kamu karena mengirimkan informasi yang salah ke publik;negatif;2024-11-01T19:16:26Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@munumunu363;Kapan tersedia di pasar;netral;2024-11-01T17:00:26Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@poojakamble9723;Mengapa Apple tidak membuat pegangan;negatif;2024-11-01T16:28:02Z;1;iPhone 17;Apple;Flagship;September 9, 2025
@MegaDgenx;Desain konsep tidak resmi Apple sering terlihat lebih inovatif daripada rilis resmi. Akan lebih baik jika Apple menggabungkan elemen dari konsep-konsep ini daripada terus fokus pada perubahan kecil seperti desain lensa kamera. ????;negatif;2024-11-01T13:31:52Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@Jennernonanvlogs;Iphone, adalah ponsel dengan performa terbaik, tetapi saya suka Android, opsinya,, Apple tidak punya;negatif;2024-11-01T10:59:30Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@wadimtwana7286;Menurut saya, saya tidak tahu apakah ada sesuatu yang berbeda pada iPhone dibandingkan dengan Android;netral;2024-11-01T07:07:43Z;2;iPhone 17;Apple;Flagship;September 9, 2025
@ColinTam;Ponsel ini tidak murah, pembeli tidak tertarik pada iPhone lagi sekarang;negatif;2024-11-01T03:22:28Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@ColinTam;Desainernya tertidur lagi, terlihat sama lagi, membosankan lagi;negatif;2024-11-01T03:21:20Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@ColinTam;Tuhan saya, desain kamera iPhone 17 pro masih terlihat sama seperti iPhone 11, desainernya tertidur lagi? Siapa yang akan membelinya?;negatif;2024-11-01T03:19:15Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@saiyanprince8237;Jika mereka membuatnya berwarna merah, saya akan membeli dua hanya karena itu.;positif;2024-11-01T02:17:42Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@Usachatnow;Tampilan keren;positif;2024-10-31T20:48:52Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@benjervis2538;Tidak suka kamera titik. Dynamic Island jauh lebih baik;negatif;2024-10-31T16:00:11Z;12;iPhone 17;Apple;Flagship;September 9, 2025
@paulhill1379;Tampilan bagus ??;positif;2024-10-31T15:46:11Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@MrJaffacakes1234;Awalnya saya pikir itu Samsung ??;netral;2024-10-31T15:25:36Z;0;iPhone 17;Apple;Flagship;September 9, 2025
@lancelot9837;"Desain yang sama membosankan, saya tidak akan upgrade dari Apple 14 Pro Max saya, saya biasanya upgrade setiap 2 tahun, tapi iPhone tahun ini benar-benar sampah, sama seperti 17 menurut tampaknya, saya mulai benar-benar frustrasi dengan Apple, mereka belum berinovasi dalam bertahun-tahun ketika datang ke iPhone.

Sudah mendengar rumor tentang ponsel Tesla yang katanya sedang dikerjakan oleh Elon Musk, saya tidak yakin apakah itu akan terwujud, tapi saya sangat tertarik dengan itu.";negatif;2024-10-31T15:17:27Z;2;iPhone 17;Apple;Flagship;September 9, 2025
