author;comment;sentimen;timestamp;like_count;tipe_produk;brand;segment;release_date;;
@rois0027;mending itel??;negatif;2024-08-17T13:52:19Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@rnegoro1;ringan dia.;positif;2024-08-16T02:18:29Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@GarudaIndonesia16;Halah kayaknya kebanyakan stok kamera Flagship. Kamera Utama pakai Sensor kamera wide angel nya Oppo Find X7 ultra. Jadi di taruh di hp mid pakai chipset Entry level. Paling Nanti LYT-701 jadi Wide Angel nya Find X8 Ultra taun depan.;negatif;2024-08-13T18:52:19Z;1;Realme 13 Series;Realme;Mid-Range;2025;;
@SIMP_Studio;Masih overprice mending M6 Pro;negatif;2024-08-11T14:17:49Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ramatranswisata;Boleh juga nih hp, saya suka hp realme;positif;2024-08-11T11:59:46Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@bastiandey1750;HANDPHONE APA INI;netral;2024-08-10T15:58:38Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@letong5922;Mending infinix sih;negatif;2024-08-10T14:24:03Z;1;Realme 13 Series;Realme;Mid-Range;2025;;
@muminpain1023;Bagus cuma chipset nya kenapa snap 685 , jelas kurang banget dengan tagline-nya yang GAMING BINTANG 5 , kocak banget snap 685 di kasih tagline GAMING ??????;negatif;2024-08-10T13:19:07Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@HarithS834;Sumpah loh bebek grup ini yg waras cuma Vivo iqoo doang, coba bandingin deh Ama iqoo z9x / z9 etdah jauh bener ni realme 13;negatif;2024-08-10T08:46:26Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@johannesragil8881;cuma sayang banget realme 3jt gaada ultra wide kalah sm Redmi 11 yng harganya nyaris sama tapi udah ada ultra wide nya, kualitas OIS nya juga ga terlalu Oke sih keknya;negatif;2024-08-10T03:44:48Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@muhamadagung4416;Realme kocak makin kesini makin kesana (badut), kalah jauh sama hp2 keluaran terbaru, dari segi performa dan harga, realme kemahalan tapi performa badut?? pdhl dulu saya pemuju realme, pernah punya, realme x3 super zoom, realme gt neo 3, realme 9 pro+, itu pun di pikir sekarang harga pada mahal banget, sekali lagi performa ga sesuai harga.;negatif;2024-08-10T00:00:28Z;4;Realme 13 Series;Realme;Mid-Range;2025;;
@renrenmardiana8799;Menurut ku realme mahal chipset gajelas, menurut saya bintang 3 aja bang, kadang deasin juga ketinggalan, beda sama pesaing pesaing nya, mending Redmi aja, atau sekarang yang lagi populer ada hp Tecno pova, infinix sm itel;negatif;2024-08-09T22:33:15Z;2;Realme 13 Series;Realme;Mid-Range;2025;;
@ohdeerbamboo8220;org2 nungguin Realme GT5 msuk indo ini malah rilis hp smpah;negatif;2024-08-09T16:10:30Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@heldianaputri9463;Kerasa sih upgrade nya dari seri sebelumnya;netral;2024-08-09T14:02:17Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@KomangIndriyani-kc7pd;Saya sudah mulai kapok sama brand realme. Penyakitnya selalu sama. Lcd selalu lepas, tombol power dan volume selalu rusak .;negatif;2024-08-08T15:52:53Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@melapertiwi1516;Fix... Auto beli;positif;2024-08-08T05:52:19Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@mabruroabu2597;Mantap hp realme 13 semoga bisa beli;positif;2024-08-08T04:37:32Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@tokpedmixshopee;hape sampah, emang cocok jadi pelawak @realme ,mending ikutan standup developer nya;negatif;2024-08-08T04:03:59Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@UkhtiOdette;klo model kamera kayak begini di daerah ku kurang laku peminat nya khusus yg seconed;negatif;2024-08-08T03:29:17Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@impossible7222;Mbok ya minimal udah naga 695 kalau emang buat gaming;negatif;2024-08-08T03:11:57Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@UmmuAlhanif-t9i;Minta sarannya dong Mending beli realme 13 ini atw 10 pro, mana yg lbh bagus, fokusnya ke kamera bkn buat gaming;;2024-08-08T02:18:50Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@afkgamingz9353;Realme 9 ke atas ngebadut ga si?;negatif;2024-08-07T21:01:59Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@aderizalakbar-gz4dn;Desain kamera nya kurang suka??;negatif;2024-08-07T17:50:16Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@DEDY_HERMAWAN;Ngeliat kameranya lsng skip.. ??;negatif;2024-08-07T15:53:26Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@tomiaffandi1875;Realme sedang bercanda;negatif;2024-08-07T02:18:00Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@lulukputri4198;Buset gede bgt kameranya kek kompor;negatif;2024-08-06T14:58:41Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@SwissMorningMeditation;Hp, impian. Semoga harganya gak mahal 2,5 lah;positif;2024-08-06T12:19:32Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ahmadturidi8387;Gak masuk dapetnya snap 685. Mikir keras mau beli ni hp. Gimmik bintang 5nya.;negatif;2024-08-06T02:45:48Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@vincentiusivan3941;Agak bingung sama ini HP,pake promosi gaming2,colab sama HOK tp kok pake nya snapdragon 685 ? mana bs maksimal main HOK pake spec kaya gt ? beda tipis sama realme Narzo lama gw;netral;2024-08-06T01:43:16Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@muhammadfarid6934;Kerenn;positif;2024-08-06T00:22:33Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@arialvareza3265;Kamera macam apa itu ??????;negatif;2024-08-05T23:37:11Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@armsid4907;Realme sekarang melawak semua, yg bener2 keren cuman seri 8 kebawah.;negatif;2024-08-05T23:16:24Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@Condoriano111;Kamera nya gede bgt ribet + kaya berat;negatif;2024-08-05T17:10:11Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@Dirin1993;Mending Poco M6 aja;negatif;2024-08-05T16:03:52Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@AMCxGAMING;Realme emang Brand Paling ngelawak ??????;negatif;2024-08-05T09:18:06Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@AhmadZaki-x5p;Saya lebih prefer infinix;negatif;2024-08-04T23:41:08Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@DidiCreator;Ko kameranya gak jernih iya;negatif;2024-08-04T19:50:55Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@wi6802;KAMERANYA JELONNG;negatif;2024-08-04T14:26:26Z;1;Realme 13 Series;Realme;Mid-Range;2025;;
@ujangsniper;hp gimmick;negatif;2024-08-04T13:25:02Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@duniakita-k3j;3jt tpi gak ada kamera ultrawide . mending redmi note 13 pro aja udah 5G ada ultrawide nya juga;negatif;2024-08-04T13:05:24Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@yugofellani113;udah lah stop kamera kek gitu realme pasti banyak yang gak suka;negatif;2024-08-04T09:24:14Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@fadliakbar9413;Brapa harga;netral;2024-08-04T09:18:08Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@febriansutrisna745;Apalahh ini realme mulai ngikut jalur oppo, malah temen makan temen;negatif;2024-08-04T07:33:37Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@fahrimasterfahri5394;Masih bagusan realme 12+ plus;negatif;2024-08-04T05:53:20Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ergiharssa2959;"Pas denger snapdragon 685
Jijik kali gue.... 
Tutup aja pabrik lu lagi Realme..";negatif;2024-08-04T04:57:31Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@danangderaniputra2957;Mantab saya pengguna realme 10, mau otw ke realme 13 juga;positif;2024-08-04T04:19:32Z;5;Realme 13 Series;Realme;Mid-Range;2025;;
@monkeypayingcoffe8727;Hp build quality sampah, mending Samsung atau ga Xiaomi;negatif;2024-08-04T04:12:25Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@bagusjm1430;realme makin mahal;negatif;2024-08-04T03:57:17Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@RifqiVandane;Ya terbilang awet si realme, gua pake 5i baru ngelopek ajah layarnya belum ada kerusakan lagi cuma lemnya doang;positif;2024-08-04T03:16:33Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@deksagtr4968;Kayak downgrade;negatif;2024-08-04T02:36:09Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@EDy_z;Hp kentangg;negatif;2024-08-04T01:19:20Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@bimpeace;Kameranya no;negatif;2024-08-04T00:39:24Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@rezasetyawan3256;realme makin lama makin badut;negatif;2024-08-04T00:11:49Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@zieabcd;Berasa kek pelit gitu yakkk;negatif;2024-08-03T21:30:59Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@ExJack.;makin kesini makin gk berharap lebih, biasa aja sih ujung² ny malah lebih muji² brand lain;negatif;2024-08-03T20:12:49Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@HabibiHolala;Kurang greget di harga segitu, brand lain sudah speck dewa untuk game di harga segituan;negatif;2024-08-03T15:15:43Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@faithangel165;baru liat pke sd685 udh males;negatif;2024-08-03T14:48:59Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@shxiu4702;realme downfall;negatif;2024-08-03T14:34:29Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@AL.alstar45;Ayolah realme untuk yg pro+ nya minimal yg agak tinggi lh ??;negatif;2024-08-03T14:27:12Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@merahkuning1121;Pas liat chipset nya bintang 2 itu,gua sebagai user realme ngecap realme itu pelit nyesal gua pindah merk dari redmi harus nya udah bisa kasih Snapdragon 7s biar mampu bersaing dengan poco x6 pelit nya minta ampun;negatif;2024-08-03T11:44:58Z;1;Realme 13 Series;Realme;Mid-Range;2025;;
@dikikurniawan8769;keren;positif;2024-08-03T11:16:41Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@aguschanelofficial2060;Kapok pake realme ?? matot;negatif;2024-08-02T13:50:49Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@putugedearmadi1367;Terlihat hp murahan;negatif;2024-08-02T13:32:24Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
@robbyxone;Relmi habis inovasi??;negatif;2024-08-02T12:56:49Z;0;Realme 13 Series;Realme;Mid-Range;2025;;
;;;;;;;;;;
;;;;;;;;;;
