author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date,sentiment
@cebongjantan1370,"Sedikit kisah kaum mendang mending:

Sejak tahun 2016 saya kenal xiaomi, makin kesini lebih suka Varian xiaomi daripada redmi dan poco. Btw, dulu Redmi dan Mi adalah varian dari xiaomi, cuma sekarang udah dipisah dan menghilangkan logo ""MI"" dibelakang hp nya.
Awal kali kenal brand xiaomi, saya beli
-- redmi 3, Tahun 2016
-- Kemudian ganti ke Mi5 tahun 2017 (beli second), akhirnya suka ke Seri xiaomi Mi.
-- Trus ganti ke Vivo V6 pro pada november 2018. ternyata tidak lebih baik dari expektasi, gaming lemot akhirnya pakai 2 bulan langsung simpan di lemari.
-- beli lagi Xiaomi Mi8 di januari 2019 dan dipakai sampe sekarang.
-- Note : untuk Mi8
Sudah 3x ganti battery, karena hampir 6 tahun ini saya selalu colok charger setiap mau tidur, dan dicabut pas pagi. Beberapa kali jatoh ke lantai, sering kehujanan, beberapa kali jatoh dan kesiram, pernah nyemplung ke akuarium,
Kondisi sekarang : layar normal, kaca kamera normal, speaker normal, tombol volume macet, IR face unlock normal, kualitas kamera tidak menurun, low light tidak lebih jelek dari poco F5, touchscreen aman, brightnes dibawah matahari masih sangat terang, dipake main pubg smooth extreme tapi rata rata cuma 50-58 fps dan wajib pake kipas.
Dan satu lagi, saya tulis komentar ini sambil nge cas 😂😂😂.
Pengen buktikan klo ini fakta, tapi gak bisa bikin video 😂😂😂
Setidaknya ini udah cukup bikin saya percaya untuk varian Xiaomi series.",2024-11-12T15:38:40Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@3kjenius761,Mirip mirip Poco x6 pro spek nya,2024-11-12T02:58:26Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@Mamshareen,"Masih nnton dg hp xiaomi note 10 pro, bingung mau ambil ini apa engga, kalo buat video/ live kira2 worth ga yg ga cepet panas hapenya 🙈",2024-11-12T02:05:41Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@omak18,Nyimak nonton pakai 13T,2024-11-11T19:09:18Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@kalbu669,👍,2024-11-11T15:57:16Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@Lord77793,"Setelah pakai nih hp,dan ada masalah yg cukup serius,ketika buka konten warna abu² dibrightness sekitar 10% diruangan gelap,keliatan layar nya bergaris,jujur aja saya baru liat pas malam hari dikamar yg lampu nya saya matikan,ini masalah yg cukup serius di x14t karena buka saya saja yg kena layar bergaris kek gitu,tapi hapir semua user x14t dan pro mengalami hal serupa,semoga bang david bisa notice komen saya biar xioami bisa selesaikan masalah ini,terutama bagi kami user yg udah terlanjur beli,oh iya ada juga user yg coba konsultasi klaim garansi ke sc xioami dan masalah ini tidak diterima pihak sc.😢",2024-11-10T18:58:13Z,7,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@AZainal-g9d,"xiaomi ga konsisten masalah model, gada ciri khas. padahal yg xiaomi 13t udh keren. kok ga dipertahankan. sisa warna yg di ubah",2024-11-10T07:19:49Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@wesben..7311,di sangkanya  ntar malah kayak  realmi 8i 😂,2024-11-10T04:12:10Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@TyrionLannisdut,Kontennya dapid udah kyk film avatar. Bisa pindah 60fps saat adegan tertentu 😮 (entah kontennya atau sinyal hp gw yg ga stabil),2024-11-09T12:16:31Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@MuhammadAzzubair-pr4md,Bismillah semoga kebeli,2024-11-09T10:09:59Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@asuha4578,"Blum ada duit, Nunggu 15t ajalah",2024-11-08T14:35:25Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@sahrulgunawan14,xiomi 14 t apa xiomi 14 ya,2024-11-07T13:17:06Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@pbb_nurul_jihad,Bru kali ini Nemu hp 5-6jtaan video 4k 60fps stabil bjir,2024-11-07T05:44:23Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@DragonEmperor_LimLengTi,"Sempat compare di xiaomi store 13t vs 14t, utk warna jingga (logo xiaomi) tangkapan 13t jingga sedangkan 14t mendekati merah.",2024-11-06T04:58:35Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@KamarGoah,Yang harus belajar dari Xiaomi ke Vivo dan infinix : managemen sinyal selular.,2024-11-06T03:32:20Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@puciasrianti1087,"Kakaku beli ini , kameranya stabil malah berasa ngalahin ip 15 punyaku😢",2024-11-05T23:32:54Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@pitvikernes,"Damn, kerapetan pixelnya 2 micron 😱",2024-11-05T16:36:08Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@mfiqihmaulanaardi6192,Wkwk camera kek bodrex😂,2024-11-05T13:59:21Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@Aldy-ln7ig,"Istri senang bngt hp merk xiaomi dr dl,saya suka samsung,perbedaan yg selalu dibahas klau ada mslah di hp..😂😂",2024-11-05T02:33:49Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@Abdullah-wg8ij,"Saya masih setia pakai mi 10 t pro ,masih gahar sampe sekarang belum serfis meski jatuh berapa kali😅😊",2024-11-04T14:50:43Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@andikardian9014,"Klo menurut sy daripada desain kamera house segitiga, atau prisma, atau jajargenjang atau desain2 hp gaming seperti rog atau black shark sih udah mending kotak biasa aja.

Mungkin hp2 gaming tersebut performanya tinggi, tapi desainnya justru norak. Mending hp desain humble tapi buat gaming bisa lah.

Itu menurut selera pribadi yg tidak suka desain kamera aneh2.",2024-11-04T14:01:22Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@pahri5515,pengalaman claim garansi xiomi diservice center cuma ngasih device doank langsung proses tanpa dipersulit❤,2024-11-04T13:55:41Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@KangRikiChannel,"KAPOK beli Xiaomi 14T.. Pake kamera bentar aja (foto, video) hp cepet PANAAASSS...! Komplain ke Xiaomi Official Indonesia gak ditanggepin..",2024-11-04T13:02:58Z,2,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@zraustin99,"dari 13T up ke 14T, all i can say is this phone could answer almost all of your 13T issues. kamera depan, massive improvement; kamera belakang, big improvement; chipset, 13T was excellent but this beast even better; storage and ufs type, improve! soal experience sangat2 menambal kekurangan2 13T. tp 2 issue besar yang masih sama, panas dan batrenya ngocorr. sedikit lebih baik dr 13T tapi, masih butuh improvement. adios😎🤝",2024-11-03T19:01:01Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@khotibulkahn1544,Yang xiaomi 13t aja blm keturutan 😂,2024-11-03T10:43:01Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@fahrurrazikin6876,Gara-gara design kamera minat langsung kurang 50%,2024-11-03T09:47:14Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@dentaandikaputra6141,suka ama hp yang ngotak ama belakang nya datar😂,2024-11-03T06:20:18Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@abdumuhammad6454,"Boleh minta sarannya bang kalo untuk kebutuhan nonton film, youtube, netflix, musik, instagram, tiktok, pilih yang 14T atau yg 14T pro ya?",2024-11-03T02:33:30Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@lauhilFR9761,Hp impian,2024-11-02T09:08:05Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@PradityaDharmawansUtama,"Casing yang bagus untuk Xiaomi 14t yang seperti apa ya?, mohon bantuannya 🙏",2024-11-02T08:03:07Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@bobbymiracle4884,"Saya pengguna Xiaomi 14T
Plus
1. Gaming kenceng rata kanan
2. Build quality kokoh
3. Kamera racikannya oke sangat
4. Ga Ada iklan Sama sekali
5. Face and fingerprint sangat responsif
6. Haptic feedback Yang terkesan premium
7. Speaker suaranya bulet Dan lantang

Minus
1. Baterai lumayan Boros (6 jam an)
2. Ga ada audio jack 3,5mm
3. Hp gampang hangat Karena chipset Yang powerful meskipun cuma daily use Tanpa gaming 
4. Buat gaming rata tengah ke kanan cenderung panas namun tidak berlebih

Silahkan Tanya"" kalau penasaran sesuatu dari Xiaomi 14T🧐🧐",2024-11-01T19:11:15Z,29,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@TioAyubXiaomi,Nonto XIOME 14 T selama Seminggu ❤❤❤❤,2024-11-01T09:32:42Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@HandDyka,Alhamdulillah udh kebelik mantul lah lucu nya lagi pernah tanding lawan hp temen ip 15 malah bagusan 14 t pro Wkwowkwo,2024-11-01T04:07:42Z,2,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@alexjacsen3399,Cepat panassss,2024-10-31T05:50:58Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@ruslanidris2546,"Mantap,, moga makin memudahkan bagi pecinta hape n konten😊",2024-10-30T19:19:13Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@sitinormahabdulrahim1099,Buat gaming bagus gak,2024-10-29T14:03:24Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@revandika666,Hp gacha ngga nih?,2024-10-29T11:28:15Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@bxrxxy,"mungkin sekarang produsen udah pada nyadar dan cape sendiri buat gencarin gimik desain dalam artian tampilan (bukan fungsional/experience/teknis) yg sejuta persen gak guna.
bagus deh.",2024-10-29T08:44:02Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@aichi13,Alhamdulillah udh kebeli hpnya,2024-10-29T08:16:25Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@SekotMendeng,Apalah daya....nonton hp mahal cuman pake itel p55😅...,2024-10-29T08:06:21Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@RakhaPS001,Semoga yg niat beli hp apapun dimudahkan,2024-10-29T00:06:02Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@PaendongJr-vv7pl,UI Xiaomi jelek,2024-10-28T14:53:39Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@izarisouei8910,"Wuih panas ya buat game, oke fix poco f6 aman nih buat budget 5/6jutaan😅",2024-10-28T09:53:05Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@ImamGhazaly-nq4bg,Dan ini adalah rekomendasi terbaik :),2024-10-28T06:29:19Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@dirarizki1403,Bismillah kebeli sebelum lebaran,2024-10-27T23:09:58Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@alfirmansyah1989,"Aku baru keluar udah beli ko,emang desainnya biasa aja,tergantung selera masing2.tapi kalo soal kinerjanya si gk usah diragukan lagi,apa lagi beli yg PRO.semua tergantung dikita yaa,sesuai kemampuan kita aja,jangan dipaksa,selalu bersyukur hp apa aja yg kita punya harus bersyukur,kalo memang ada rezeki lebih why not 🤗",2024-10-27T11:56:55Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@muhammadhafid1792,mantap bang buat ilmu tentang hp,2024-10-26T06:15:22Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@CahkonoOmahekene,"suka cari vidionya, nabung dulu biar dapat yang 14T",2024-10-25T16:52:20Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@baron5868,Tetap yg jadi ciri khas xiaomi itu hasil record video warnanya lebih ke pucet,2024-10-25T11:37:43Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@sucyromanda2270,"Pas pertama kali liat, cinta nya itu gara2 design",2024-10-25T02:44:01Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@kanjengdarto9136,Njir bisa 4k60 gila sih,2024-10-25T00:38:03Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@kretek2183,malah niru infinix,2024-10-25T00:16:26Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@AunorGaming,skin B aja 😭,2024-10-24T17:30:38Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@Allvaro0zh0ra,"Lebaran masih jauh omm , tunggu tahun depan .. yg deket bentar lagi mau Natal 🎉🎉🎉🎉",2024-10-24T05:15:28Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@adtybma2969,"Berarti 13 T masih menang, desain 14 T buruk kamera ada gimmicknya yaitu lampu flash kamera belakang dibikin terlihat seperti kamera 😂, kek HP murahan 😂",2024-10-23T23:44:20Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@tobitobias6878,"Saya pengguna 13T, udah 2 minggu nyobain 14T. Jujur kecewa banget sama kameranya. Resolusi emang lebih gede, tapi sensor lemah, susah fokus, pencahayaan otomatisnya terlalu terang. Hasil foto 13T jauh lebih detail meskipun secara warna 14T lebih real. Entah saya yang dapat produk gagal ato gimana, tp kecewa banget pake 14T. Layar jg lebih tajam 13T menurut saya. Moga2 bisa retur si 14T ini dan duit saya balik.",2024-10-23T18:44:22Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@SarkowRury,"Haduh bang kpn bisa kebeli hp semahal itu mw beli untuk anak harga 2,5 jta aja masih nabung beberapa bulan sampai skranng aj belum kebeli bang 😢",2024-10-23T11:36:16Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@mahendaulia6449,"Bang, mending yang 14T aja atau 14T Pronya bang?",2024-10-23T03:52:49Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@storyrahman,Rajanya hp dipasaran menengah kebawah,2024-10-23T03:38:36Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@radityaputra2103,"Untuk Smartphone harga 6 jutaan, xiaomi 14T udah oke banget... chipnya juga udah dimensity 8300-ultra yang super kenceng. Dari spek lain juga performanya termasuk bagus dibandingin yg harga 6 jutaan lain. Kalau masalah desain, memang simple, tapi saya malah suka yang nggak aneh-aneh.... tapi itu subjektif juga sih. Yang jelas menurut saya xiaomi 14T udah oke banget...",2024-10-23T03:09:40Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@RidwanApriansyah-k3w,Bagus kok desain belakangnya,2024-10-23T01:57:30Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@indra4941,"Temen saya langsung beli yang baru riliss , sekarang mau dilelang baru pakek sudah panas😂😂😂",2024-10-23T00:12:52Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@astrakanovic5548,Coba versus kan dgn iphone 13 bisa bersaing ga?,2024-10-22T23:26:33Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@arashiyukie6019,Makanya beli yg item supaya nutup desainnnya,2024-10-22T20:26:47Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@MnopalA,Vs in vivo v27 5g,2024-10-22T17:36:37Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@iyans.0178,agak kureng emang 😅,2024-10-22T11:30:20Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@sunmode2000,Xiaomi 14T ini bisa kamera sinematik gk ya,2024-10-22T06:08:39Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@dikanursy7153,Kamera kayak bodrex😂😂,2024-10-22T05:50:30Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@yungkrimalindo6946,"ntn pakai 13t, baru aja beli skrg kluar 14 t",2024-10-22T04:46:13Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@saydilummahummah5597,"Produk hp Xiaomi memang mantep sih gw dh beberapa kali ganti hp dari mi 4i, note 4 pro, redmi 5, dan sekarang note 10 5g, dan gw aku in semuanya tahan banting semua, mantep sih walau produk cina tapi bisa sekuat ini 👍👍👍",2024-10-22T03:25:02Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@k1gsulk,Alhamdulillah gw bisa komen vidio bang David pakai Xiaomi 14T gokil keren habis,2024-10-21T16:14:43Z,4,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@villagercats,"Saya udh 2 minggu pakai 14T, Alhamdulillah puas n seneng bgt karena udah 8 thn gak ganti HP sama sekali (oppo F1s). Semoga 14 T ini hape jangka panjang saya selanjutnya...",2024-10-21T15:51:51Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@fathur_r95,Gue udah beli ini hp Xiaomi 14T  di platform S****e pas event 10.10 & lumayan juga dpt harga diskon Rp6.650.000 utk 12GB/512GB 😁,2024-10-21T14:18:47Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@mikamasamoto5748,"Habis beli ...serius , klo liat langsung desain nya menurut gw cakep banget",2024-10-21T13:56:25Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@cevinislamnuresa5872,Xiaomi 14T/pro itu Audio nya Support DolbyAtmos atau engga ya manteman?,2024-10-21T13:04:02Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@ahmadibrahim1124,Desainya mirip kartu gaple bang david tau kan kartu gaple balax empat 😂😂,2024-10-21T12:25:58Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@anandhasatria4226,"Bang review fitur keamanannya gimana dong apa masih sama aja, kan lagi marak hack hp Android",2024-10-21T11:01:51Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@nandasan552,Demen 13 t sih,2024-10-21T09:49:55Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@hanzei4181,Gua yg masih di mi 10t pro : 🗿🗿,2024-10-21T08:43:14Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@simpansemur,"gasuka bentuk kamera blgkgnya, gede banget kek norak gt😢",2024-10-21T08:12:40Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@Roronoa97,Design kena Nerf😅,2024-10-21T08:09:42Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@cracxerz,"Dari jaman 9T seri T di xiaomi emang paling layak ditunggu karna design, spek dan harganya yg flagship killer, tp kali ini di seri 14 design kamera aja sih yg kureng selebihnya tetep gokil di rentang harganya",2024-10-21T06:36:53Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@randyhartanto5061,Kesannya kek Poco X6 Pro yg di ganti baju doang 🥲,2024-10-21T05:28:40Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@bennyfaisal6105,Pengen ganti tpi xiomi 12 lite baru setahun n kmrin beli samsung A55 buat istri.... Next try sj lach thun depan.... 😮‍💨 Pernah beli 10 t pro matot...,2024-10-21T01:58:12Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@rihardesoskar8779,"masalah desain hp sekarang saling gede gede kamera, cuman rog phone 8 menurut gw desain mewah😆",2024-10-21T00:50:28Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@yusufsaefuloh-j7d,"emang si desain modul kameranya kureng banget, udah terlalu umum sekarang si, kurang wah",2024-10-20T14:02:02Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@Allvisboy97,Mengapakah Xiaomi di tahun 2024 menjadi panas Dan lagging,2024-10-20T12:05:25Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@bakwantv4998,"buat service center Xiaomi puas si, dulu ganti baterai poco F4 udah mepet abis garansi tapi masih bisa ganti + gratis.",2024-10-20T11:31:39Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@arielxns100,"Hpnya ngebug uey 
Buka tiktok video pertamanya ngefreeze",2024-10-20T05:24:30Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@NovoWijayanto,"Desain xiaomi,vivo,oppo tdk ada ciri khas sm skali..desain sesuai mood desainer mrk..",2024-10-20T02:10:12Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@RomeoRichard,"Desain boleh boring, tapi kalo bicara soal spek dan fitur emang hp 6 jutaan lain berani lawan ? Siap² aja bonyok sih 😎",2024-10-20T00:56:47Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@39sui,"Harga segitu sih speknya udah cukup klo buat gw...
Soal design, gw ga ngaruh lah yg penting spek dan kualitasnya bagus..
Lagian ujung2nya klo udah beli hp pasti pada pake cover ( softcase,hardcase ) kan?😅
Daripada beli hp yg designnya bagus (spek cupu) tapi ujung2nya ketutupan cover juga..wkwkk",2024-10-19T22:45:49Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@delai86,"tadi saya test, AI nya payah, delete obyek aja gk sempurna, ada blurnya gt.",2024-10-19T13:26:38Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Negative
@nasitisiti6752,"Pingin beli tapi gak ada yg nemenin buat beli di konter apa lagi ke mol gak bisa,KLO beli online takut😢",2024-10-19T05:43:21Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@rendisetiawan1909,"Secara tidak langsung David masih belum bisa move on dari 13T, dan memang sebagus itu untuk 13T kebetulan saya beli 13T atas rekomend David",2024-10-19T04:41:14Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Neutral
@zen.raigar,"Dr dulu pengen bener punya xiaomi yg versi T ini, mdah2an suatu hri bisa kbeli....amiinnn",2024-10-19T04:16:54Z,0,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
@zen.raigar,"Dr dulu pengen bener punya xiaomi yg versi T ini, mdah2an suatu hri bisa kbeli....amiinnn",2024-10-19T04:16:45Z,1,Xiaomi 14T,Xiaomi,Flagship,September 2024,Positive
