author,No.,Comment,Sentiment,Reason,timestamp,like_count,tipe_produk,brand,segment,release_date
@muhammadfauzan8879,62,Apakah ini HP Asus zenfone yang terakhir?,Neutral,Asking a question about the future of the Zenfone series.,2024-07-21T00:59:27Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@adbdb,63,"ini sih fix, bukan strategi marketing tapi tim strategi vs marketing. strateginya rog is rog. zenbook, zenfone selaras slick elegan fresh. tapi ga ngangkat market nya...",Neutral,"Commentary on strategy, not focused on the phone itself.",2024-07-20T15:33:17Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ariandi4831,64,Sikit jg cm dpt 3x update software. Mending….,Negative,Dissatisfaction with the software updates.,2024-07-19T13:48:26Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@RizkiMuhammad-tg2kl,65,Skrng si david berkumis,Removed,Off-topic comment about the reviewer�s appearance.,2024-07-19T12:39:48Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@paijo_banjo582,66,13:39 kanan lebih bagus ya 😂😂😂😂😂 kok tau?,Removed,Off-topic comment unrelated to the phone.,2024-07-18T14:44:24Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@paijo_banjo582,67,"Gua pernah punya asus zenfone 2 sekitar tahun 2015-2016 kayaknya, beli gara2 xperia z3 gua masuk air.. 🤣",Removed,Off-topic comment about a past experience with an older phone.,2024-07-18T14:24:08Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@cipluxgendeng9558,68,Harganya turun terjun bebas 🤢🤢🤢,Negative,Negative sentiment about the price drop.,2024-07-18T05:01:03Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ArabPeaaaa,69,"gk laptop gk hape emang cocok buat goreng telor, nyesel beli asus dulu sama laptopnya mahal doang",Negative,Dissatisfaction with the price of Asus products.,2024-07-17T17:18:51Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@frenlytan3416,70,"always nonton tiap review asus zenfone, tapi kok ...",Removed,Off-topic comment about watching reviews without clear feedback.,2024-07-15T09:30:30Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@MarusahaMarusaha-xk2ov,71,"Asus punya cerita buruk di banyak orang termasuk saya, rog 6 saya LCD nya tiba"" Gelap padahal saya hanya pakai nonton YouTube dan sambil isi daya",Negative,Frustration with ROG 6's LCD issue.,2024-07-14T12:11:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@motherfox9216,72,Dear jokowi balikin rupiah ke 9000 gw mau beli hp bagus,Removed,"Off-topic political statement, not related to the phone.",2024-07-14T09:58:18Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@thinksurya2658,73,"Akibat permintaan pasar yg seneng layar gede gede 😂,tapi coba yg compact di bikin midlow pasti laris",Neutral,"Suggests a potential market for compact phones, no strong sentiment.",2024-07-14T03:07:40Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@manusiapintar4436,74,"Bang mending Zenfone 11 ultra, Samsung s23, s24 buat daily bang",Neutral,"Suggests an alternative phone, but not negative.",2024-07-13T09:11:21Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@AliShidiq,75,Bang kalo review hp gaming coba tes make game baru wuthering waves,Removed,Off-topic suggestion for the reviewer to test a specific game.,2024-07-13T06:34:38Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@lesehantekno6195,76,"Ga suka banget sama desain belakang dan juga kameranya, kesannya kaya hp murah. Kebantu logo rog aja klo versi rog",Negative,"Dislikes design and camera, considers it cheap looking",2024-07-12T17:48:30Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ninoe_jrclickerzzz4308,77,"""Q berharap zenfone 11 ultra bakal menang di kamera sama rog 8 tpi saya liat ngga ada perbedaan... Mending ambil rog 8 ngga sih""",Negative,"Dissatisfaction with camera, suggests buying a different model",2024-07-12T09:46:18Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@buchehandred5868,78,"9:24 ASUS ITU BUKAN LEMBAGA AMAL, NGAK KAYA ITEL😂😂",Negative,Critical and sarcastic remark about ASUS,2024-07-12T06:26:04Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@hendrivour,79,"dulu sempet beralih dari Samsung ke Asus Max Pro M2, gak bertahan lama cuma 2 tahun, rusak karena LCD pecah dan batre kembung. sekarang balik lg ke samsung, bangke hapenya masih ada tuh ehehehe...",Negative,"Dissatisfaction with Asus Max Pro M2, prefers Samsung",2024-07-12T01:35:41Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@nurabdulah601,80,Skip dah,Neutral,"Off-topic, no valuable feedback",2024-07-11T12:39:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@bayurp26,81,"dear ASUS, kembalikan seri max pro 🥲",Removed,"Off-topic, unrelated suggestion for ASUS",2024-07-10T13:01:23Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@kreatorgaming011,82,"Bang aku beli hp poco x6 pro 5G melalui link yg di deskripsi kok paket datang hpnya gak ada bang, bntu up bang",Removed,"Off-topic, unrelated to Zenfone or the review",2024-07-10T10:01:39Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@dinarsudarsono9067,83,Nonton pake max pro m1.,Removed,"Off-topic, comment about device used for watching",2024-07-10T03:59:42Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ryanherjunot4139,84,"Gua salah satu pecinta asus, tapi sayangnya mahal banget ngga kuat di kantong gua😅",Negative,"Dislikes price, mentions financial constraints",2024-07-09T17:40:43Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@holibrangga5957,85,"""Bang sy butuh hp bekas ga apa2 yg memory 6-8 GB... Yg penting ga bermasalah.. Brgkali Abang ada Krn butuh buat..medsos, editing dan bikin konten.. Dana.1 juta an lebih dikit""",Removed,"Off-topic, request for used phone",2024-07-09T13:47:51Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@albi_azka449,86,"10 Juta 😮😮 orng Indo lebih ke model HP yg bagus baru spek, maaf bakal ga laku nih Hp",Negative,"Criticizes pricing for local market, implies lack of demand",2024-07-09T12:33:12Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@muhammadariandrianto2513,87,Nonton pake Asus Zenfone Max Pro M1,Removed,"Off-topic, comment about device used for watching",2024-07-09T12:07:54Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@DediRojalih,88,Keren asli bang hasil vidionya,Positive,Complimenting the video quality,2024-07-09T12:02:35Z,2,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rinaldi400,89,Jadi inget tahun 2019 gaji pertama beli hp asus zenfone max pro m1,Neutral,"Nostalgic memory, no feedback on current product",2024-07-09T07:32:22Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@panjoelgmbtech6924,90,Bentar lagi nasibnya kaya nokia,Negative,Critical comparison with Nokia's downfall,2024-07-09T06:38:22Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@gmcsultanahmad2053,91,"masih menunggu Snapdragon 8 Gen 8 di Review,baru beli 🤭",Neutral,"Waiting for review, no opinion on the current product",2024-07-09T04:11:58Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@Almaarip02,92,Unboxing hp honor 200 pro bang,Removed,"Off-topic, comment about a different phone",2024-07-08T20:07:28Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@mbahmarijan789,93,bisa di unlock bootloader gak?,Neutral,"Question about bootloader, not directly related to sentiment",2024-07-08T08:01:26Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@Lintaslaskar,94,Okay,Neutral,"Generic, no meaningful feedback",2024-07-08T07:19:19Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@metamorfozes4643,95,Headset dengan harga 14jt kualitas normal😅,Removed,"Off-topic, comment about headset pricing",2024-07-07T15:56:53Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rickyanugrah8862,96,"harusnya zenfone 10 bezel layarnya ga tebel,baru larisss",Negative,Criticism about Zenfone 10's design,2024-07-07T14:33:31Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@VebryAMD,97,"Sejak masiih bujang sampe punya anak 1, masih setia dgn ASUS.",Positive,Loyal to ASUS over the years,2024-07-07T14:17:09Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@lainnya3999,98,??nonton pake zenfone max pro m2,Removed,"Off-topic, comment about device used for watching",2024-07-07T09:15:23Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@juanda.maulana,99,"""Asus dan lenovo , kayaky memang bukan spesialis handphone mainstream.. Khusus laptop dan pc aja sudah""",Neutral,"Off-topic, comment about other brands",2024-07-07T08:42:51Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@ramdhanzni,100,What Asus?🤔,Removed,"Unclear, neutral comment about ASUS",2024-07-07T06:37:02Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@dekenganepusat-qi5cq,101,Nonton pakai zenfone 5 2018 . Masih enak di pakai,Removed,The comment is unrelated to Zenfone 11 Ultra.,2024-07-07T05:57:54Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@RevanApriansyah,102,Be my,Removed,Irrelevant to the product.,2024-07-07T04:28:23Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@kenzi8785,103,nonton ini pake hp pinjem bapak,Removed,Irrelevant to Zenfone 11 Ultra or its sentiment analysis.,2024-07-06T14:10:28Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@XurvZxert,104,bang hp 4-5jt an yang kamera nya bagus apa ya,Removed,Irrelevant to Zenfone 11 Ultra.,2024-07-06T05:00:19Z,1,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@muhammadmazinirfani5032,105,Dari semua seri zenfone. Liat zenfone 11 ini kecewa ?? kek keluar dari ranah brand Zenfone yg sejatinya ??,Negative,"The user expresses dislike for Zenfone 11 Ultra, specifically for not aligning with the typical Zenfone brand identity.",2024-07-05T19:32:25Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
@rizkhialrauufifahmi8748,106,"Bang david, tolong selidiki hp samsung 1 tahun terakhir kaluaran 2023 banyak bermasalah di LCD??",Removed,The comment is unrelated to Zenfone 11 Ultra.,2024-07-05T18:24:40Z,0,ASUS Zenfone 11 Ultra,ASUS,Flagship,2024
