sentimen,author,comment,timestamp,like_count,tipe_produk,brand,segment,release_date
positif,@asherdipps,Ini benar-benar bagus... kerja yang hebat,2024-10-25T07:29:16Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@djuandlyn,Saya punya iPhone 13 dan tidak akan upgrade sampai mereka menunjukkan peningkatan nyata yang mengesankan saya dan sangat ringan. Bukan hanya tombol samping yang salah tempat.,2024-10-24T02:44:43Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@brian_njtransit,"Mungkin tidak akan ada angka 17 di namanya dan hanya disebut ""iPhone Air"".",2024-10-23T21:40:08Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@benjitheman,"Konsepnya keren, tapi kita tidak akan memasang hanya satu kamera di ponsel pada tahun 2024",2024-10-22T06:39:15Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@totallynotcamren,"Ini lebih buruk dari seri 16, jujur saja.",2024-10-19T02:35:28Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@imluctor5997,Yang berikutnya beri bezel yang lebih kecil. 16 Pro sudah memiliki bezel lebih kecil dibandingkan konsep ini.,2024-10-18T18:05:57Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@trevorroberts8850,Semakin buruk setiap tahun,2024-10-18T17:20:59Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@N0h0._.,"Saya pikir itu akan memiliki 2 kamera, mungkin seperti iPhone 16, dan mungkin 6,7 inci.",2024-10-17T21:04:37Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@metehan3457,Harga menjadi sangat mahal.,2024-10-17T12:40:04Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@zarif-5b400,Saya pikir ini akan menjadi iPhone 17 slim air.,2024-10-17T09:35:44Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@FELIXTHEBRATT,Harganya sangat mahal,2024-10-17T01:09:40Z,3,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@abdullahalsarari5350,انوووفااااا,2024-10-16T09:40:07Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@CarsMyFavorite,Bagaimana cara membuat animasi dan ponsel seperti ini? Saya ingin tutorial.,2024-10-15T17:51:53Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@NosniyRivals,"Bro, bagian belakangnya terlihat seperti iPhone XR, tapi bagian depannya tidak.",2024-10-15T01:28:44Z,2,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@BloodBathFF,Apa nama lagunya?,2024-10-14T08:35:57Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@SalimathY,😊👌,2024-10-13T22:22:37Z,2,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@RomeoAhanthem,Terjemahkan ke Manipuri,2024-10-13T11:00:08Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@Limey2024,Akhir dari Samsung,2024-10-13T10:47:00Z,4,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@陳紹民-m5k,Mungkin ini adalah iPhone SE4 yang sebenarnya!,2024-10-13T06:16:43Z,21,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@CatofBddies,Hanya iPhone XR,2024-10-12T04:12:58Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@相鉄ファン.Kashiwadai,Apakah ini bukan lampu flash yang besar?,2024-10-12T02:50:18Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@anthonythebold1161,"iPhone 17 hanya dengan satu lensa kamera? Ya, itu pasti tidak akan terjadi",2024-10-11T10:40:08Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@Icyycloud_,"Kita baru saja mendapatkan iPhone 16, bro. Dan sekarang mereka hanya memperkenalkan ulang iPhone XR.",2024-10-10T19:46:38Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@69-wolf40,Ada yang bisa menebak harganya?,2024-10-10T14:23:35Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@Xireal,"Wah, sekarang jadi seperti iPhone XR.",2024-10-10T12:18:03Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@Shiverroblox-123,Saya sedang menonton ini di iPhone Air,2024-10-09T17:24:11Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@Popo_Plays,"Saya suka namanya tapi tidak desainnya, dan kenapa Apple menggantikan model Plus dengan Air bodoh ini??",2024-10-08T20:38:51Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@saidameziani7297,❤ l'iPhone 17,2024-10-08T06:48:53Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@saidameziani7297,Perancis Aljazair Paris iltone. Pink berlian rubi emas,2024-10-08T06:48:19Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@JuanmanuelMedina-w8v,"iphone XR 2 (ya sudahlah, berhenti dengan omong kosong ini, bahkan belum mengumumkan iPhone 17).",2024-10-05T17:15:00Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@MargadAmarsanaa-q5b,Bisa coba Air Pro?,2024-10-05T11:33:18Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@bhavishsaini2829,gay tanpa iphone bukanlah seorang gay,2024-10-05T07:39:12Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@GTASA-w1u,IPhone se4 😢😢😢😢,2024-10-05T07:37:52Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@bradley7506,iPhone 17 Air dengan baterai habis di siang hari... mantap.,2024-10-05T00:45:53Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@ajucreations3206,"Pakai software apa, bro?",2024-10-04T17:39:04Z,2,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@MaxwellPlayz.,Tahan udara,2024-10-04T16:11:41Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@MamdouhMoustafa-n9n,Desainnya cantik,2024-10-04T11:42:38Z,4,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@Alexandre.10,"Kalau kamu punya iPhone bekas dan ingin menyumbangkannya ke saya, saya akan menerimanya",2024-10-03T16:02:10Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@PriyaSaggi2912,"Sama seperti iPhone XR lama dengan satu kamera, iPhone 16 dan 15 lebih baik.",2024-10-03T15:58:41Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@razumk9835,"Desain yang bagus, Apple.",2024-10-03T12:43:54Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@denisonsuiam2604,Dengan satu kamera belakang? Bagus,2024-10-03T12:14:05Z,2,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@Antosz44,Bagus!!,2024-10-03T10:22:46Z,2,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@nelsonferreira5796,Saya sangat ingin iPhone ini. Indah sekali.,2024-10-02T14:38:37Z,13,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@Phantom_gtx,"Jadi, kamu bisa mencoba Air.",2024-10-02T12:40:21Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@NatalyZhiltsova,"Tidak ada yang baru, intinya. Membosankan.",2024-10-02T07:10:50Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@xxitz.txca.Kellyxx,Palsu.,2024-09-30T19:10:48Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@yonghuat1957,"Cewek, tidak. Mereka kecewa dengan desain jelek iPhone 16, bukan yang ini.",2024-09-30T12:02:13Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@junaidrehman-pm6sk,Selalu benci dengan tiga tonjolan kamera,2024-09-30T09:39:10Z,2,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@junaidrehman-pm6sk,"Kalau bentuk ini dirilis, aku akan mempertimbangkan untuk membelinya dan beralih ke iPhone.",2024-09-30T09:38:07Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@nyc_20011tiktok,"iPhone 17 sudah? Tenang dulu, ini baru 2024, dan Apple baru saja merilis iPhone 16, jadi mungkin tunggu sebentar lagi?",2024-09-29T22:22:43Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@SpexKartRacing9799,Ini benar-benar iPhone XR tapi dengan Dynamic Island,2024-09-29T05:31:51Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@SuperRahhGaming,$1299 😮,2024-09-28T23:03:56Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@ChiliBurgerYT,"Pikirkan ini. Mungkin iPhone Air ada agar SE bisa menjadi layar penuh, sementara SE klasik tetap dengan tombol home.",2024-09-28T13:27:07Z,3,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@تركي-ل1ع,Tidak ada iPhone 17.,2024-09-27T12:38:05Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@تركي-ل1ع,iPhone SE4,2024-09-27T12:37:43Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@Fortnite_Itemshop_PEAR,"Saya adalah penggemar terbesar, sungguh.",2024-09-26T13:32:48Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@KoRnKT9,iPhone 17 dengan chip M1.,2024-09-25T13:36:31Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@worldraphiphop7590,Sama saja seperti yang sebelumnya,2024-09-25T07:28:10Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@Savingsouls4kingdomofGod7,Ini semua tentang saya,2024-09-25T03:29:04Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@1Bkhe1,"Jadi, maksudmu semakin tinggi generasi ponsel, semakin sedikit kameranya?",2024-09-24T12:52:24Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@sumanthkumar6665,Apa!,2024-09-24T04:41:37Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
positif,@cubegaming8115,iPhone Air (Generasi Pertama).,2024-09-23T21:56:00Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@KMDesigner,"Seperti biasa, pekerjaan luar biasa, bro",2024-09-21T21:02:35Z,7,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@RobloxianX,"""Yang orang inginkan: Tidak ada tonjolan kamera Tidak ada pill. Yang akan diberikan Apple: tombol lain.""",2024-09-21T05:49:41Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@ER-hq2fe,Era 2025,2024-09-20T14:44:37Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@dede9269,Palsu.,2024-09-18T20:14:58Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@WaterCatcherYT,Ini mungkin iPhone SE4.,2024-09-18T12:02:29Z,6,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@Manfacelikestoedit,Bagaimana dengan iPad Pro Max?,2024-09-18T11:25:09Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@serbaserbi9610,Terlihat seperti Vivo V40.,2024-09-17T16:13:21Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@TamNguyenHoai66,"17 Pro Max sangat bagus, saya suka",2024-09-13T05:09:58Z,6,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@OrkunKavas7042,Tolong layar 7 inci!,2024-09-12T20:02:14Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@ahfa2010,"""Konsep yang saya tunggu: iPhone 18 Fold, iPhone SE 5, iPhone 23 (karena Apple 2030), iPad Mini 7, MacBook Mini.""",2024-09-11T22:36:59Z,2,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@KingTheSlav,"Astaga, itu akan mudah bengkok",2024-09-11T17:01:24Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@PuppiesTheHand,Dengan satu kamera itu jelek.,2024-09-10T20:23:55Z,1,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@bertohernandez4780,Ini adalah iPhone 16.,2024-09-10T16:13:26Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@meryem_uck895,"Ini luar biasa, My Little Pony. Ini aku, kolaborasi kamu ya.",2024-09-09T20:04:56Z,3,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@Code_Play44,Ini adalah konsep iPhone SE 4.,2024-09-09T08:22:51Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@Bruhangry------why,Saya pikir itu akan disebut iPhone 17 Slim.,2024-09-08T16:13:29Z,64,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@JustAPersonWhoComments,Bukankah iPhone 17 Air akan memiliki 3 kamera di tengah?,2024-09-06T07:33:32Z,0,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@ahfa2010,"Kamu melewatkan rumor, Dynamic Island dikabarkan lebih kecil di iPhone 17 Air.",2024-09-05T20:17:09Z,11,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
netral,@EditorHeart,"Manis, itulah mengapa saya berlangganan Brilliant Tech seperti ini.",2024-09-05T18:08:04Z,10,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@laldarshana6172,Bagian belakang aluminium tanpa pengisian daya nirkabel.,2024-09-05T15:27:56Z,8,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
negatif,@longkimlikekimtaehyung,"Kamu suka iPhone 17 Air, saya harap akan ada iPhone 17 Air baru! Semoga ada. 100%",2024-09-05T15:24:05Z,29,iPhone 17 Air,Apple,Mid-Range,9-Sep-25
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
