author,id,comment,sentiment,timestamp,like_count,tipe_produk,brand,segment,release_date,text_processed
@sodikinselinda95,19,Â,positive,2024-04-29 05:16:33+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,â
@ghoibcahaya7,20,Tecno terus mengembangkan sayap nya,positive,2024-04-13 13:00:36+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,tecno mengembangkan sayap nya
@Bang_DJ_AnakAsuhanRembulan,21,"Hape ini cocok untuk orang yang GA MAU MAIN GAME. Fitur nya udah lengkap banget untuk keseharian chat, scroll sosmed, dan NFC untuk cek Kartu Elektronik. Untuk saya pribadi, sudah memenuhi kebutuhan sebagai daily driver. Pergunakan hape sesuai kebutuhan. Di hape ini, saya cukup instal WA, IG, YT, BCA Mobile, Shoppe, dan GRAB. Untuk main Game, saya beli hape lain yang memang khusus untuk Game dengan chipset kelas atas. Jadi lebih nyaman, ketika main Game pun tidak diganggu dengan adanya panggilan telpon dll.",positive,2024-03-02 08:42:43+00:00,0,Tecno Spark 20C,Tecno,Entry-Level,24-Jan,telepon genggam cocok orang tidak main game fitur nya lengkap banget keseharian chat scroll medium sosial nfc cek kartu elektronik pribadi memenuhi kebutuhan daily driver pergunakan sesuai instal wa instagram yt baca mobile shoppe grab beli khusus chipset kelas nyaman diganggu panggilan
@karambia1243,22,Kenapa sim tray nya gak bisa dibuka ya? Apa ada yang sama?,negative,2024-11-16 22:29:40+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,sim tray nya tidak dibuka iya sama
@afandipolontalo5759,23,"kekurangannya 1, hp nya gak support kompas",negative,2024-11-13 05:05:09+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,kekurangannya 1 handphone nya tidak support kompas
@r.satriyahanindita651,24,Sekali lagi.. Ga ada carjernya. Ga ada carjernya,negative,2024-11-09 14:48:17+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,tidak carjernya
@King.Mickey69,25,Aku mau Beliin Mamaku mending ini atau Redmi 13/14 . Harganya kan beda2 dikit,neutral,2024-11-08 09:18:25+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,belikan mamaku redmi 13 14 harganya beda
@hosifah8568,26,Samsung skrg knp yeaa cuman Cable USB nya doanx,neutral,2024-11-06 00:22:51+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,samsung yeaa cable usb nya doanx
@AgungNugroho-ux8se,27,mending a06 atau a05s?,neutral,2024-11-05 09:03:02+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,a06 a05s
@seblakkucing,28,yg tau jawab dong mending mana sama redmi 14c ? kebutuhan multitasking,negative,2024-11-03 15:51:22+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,sama redmi 14c kebutuhan multitasking
@IkaAka-b5m,29,Yang seri ini gk ada game boosternya,negative,2024-11-03 01:25:18+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,seri tidak game boosternya
@NAILANaurayumna,30,Aplikasi sembunyi aplikasi di Oppo Uda lama ada bg hp saya Oppo 2019 UD punya aplikasi itu,neutral,2024-11-01 12:49:33+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,aplikasi sembunyi oppo lama bagi handphone 2019
@aceleldat3601,31,"Samsung udah ketinggalan zaman sekarang baik segi spek, build quality dan harganya kemahalan dibanding Xiaomi, Vivo, atau Realme.",negative,2024-10-29 17:34:41+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,samsung ketinggalan zaman segi spesifikasi build quality harganya kemahalan dibanding xiaomi vivo realme
@yippiyappap,32,"kemarin beli tapi lcd nya error, alhasil masuk ssc, sepertinya si full warranty ¢ semoga :(",negative,2024-10-25 13:12:57+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,kemarin beli tapi lcd nya error alhasil masuk ssc sih full warranty semoga
@agungsetiawan-r6b,33,gue suka banget sama desain ni hp. simple ga kebanyakan kamera.. tapiii sayang bgt blm nfc dan layarnya kegedean.. klo aja 6.1 auto buyy sihhh,positive,2024-10-16 07:43:10+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,suka banget sama desain nih handphone simple tidak kebanyakan kamera tapiii sayang belum nfc layarnya kegedean 6 1 auto buyy sih
@wellyferdinand2303,34,Semoga gak kayak abangnya si A03s.. ghost touch parah,negative,2024-10-14 01:48:20+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,semoga tidak kayak abangnya sih a03s ghost touch parah
@siskabae3,35,Bagusan mana sama realme note 60 ?,negative,2024-10-12 00:53:26+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,bagusan sama realme note 60
@radhi1188radhi1188,36,Triple slot dong buat semua seri A...payah sekali saya gajadi beli gara2 urusan ginian..males bawa 2 hape,negative,2024-10-11 18:05:02+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,triple slot seri a payah tidak beli gara urusan malas bawa 2 telepon genggam
@Naruto-oc6mi,37,"Barusan tes hp ini. Ini aku kasih tau kelemahannya. Speakernya jelek banget, cuma mono ga stereo, suaranya berisik menusuk kuping, ga ada bass samsek, treble doang, gw bandingin sama suara samsung a20s gw sama-sama muter youtube jauh lebih hd suara a20s gw njirr padahal keluaran 2019. dengerin lagu pakai ni hp lewat speaker ga betah, kuping sakit, suara cempreng ga megah kayak a20s gw yang keluaran 2019 anjir, selainnya ok lah",negative,2024-10-05 03:06:44+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,barusan te handphone kasih kelemahannya speakernya jelek banget mono tidak stereo suaranya berisik menusuk kuping bass sama treble doang gue bandingkan suara samsung a20s memuter youtube high definition anjir keluaran 2019 dengarkan lagu pakai nih speaker betah sakit cempreng megah kayak anjing selainnya oke
@gilabelanja4456,38,"16:41 fix ga jadi beli A06 karena charger 25 watt nya cuma Gimmick seperti A05,inputnya dibatasi gak real 25 watt. Gila aj ngecharge 1 jam 52 menit",negative,2024-09-28 09:22:47+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,16 41 fix tidak beli a06 charger 25 watt nya gimmick a05 inputnya dibatasi real gila ngecharge 1 jam 52 menit
@budist5025,39,Bagus tp sayangnya blm support NFC ya.,negative,2024-09-27 05:48:01+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,bagus sayangnya belum support nfc iya
@KhayraXtv,40,A05 nya sampah.. Ram gede cuman gimic doang..bugs error sering lag..dan klo udah lag Touchscreen gak bisa Dipencet..semoga yang ini enggak..tapj selama ram gimic + gw jamin masih sampah,negative,2024-09-26 16:25:40+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,a05 nya sampah ram gede gimic doang bug error lag touchscreen tidak dipencet semoga tapj gue jamin
@Agisti31,41,"cocok buat hp orang tua ini mah, untuk mudah kaya gw skid banget, kalau pun mau kekeh mau samsung minimal mending samsung A15 5G ajah ram 8 gb internal 128 atau 256.",positive,2024-09-21 06:59:56+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,cocok handphone orang tua mudah kayak gue skid banget kekeh samsung minimal a15 5g ram 8 gb internal 128 256
@zzahh_0,42,ramnya blm up to ke 6 kah? yg a05 aja udh up to ram 6,negative,2024-09-20 12:55:43+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,ramnya belum up to 6 kah a05 ram
@riorioriorio7775,43,Ciri khas HP ecek ecek yang kepala adaptornya dijual terpisah tp kualitas Hp nya sih boleh juga,positive,2024-09-20 06:05:11+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,ciri khas handphone ecek kepala adaptornya dijual terpisah kualitas nya sih
@leonardochristian18,44,Baru beli buat hape ke 2. Tapi kenapa Helio G85 berasa lemot ya mas? Punya ibu saya Galaxy A22 Helio G80 berasa lebih sat set sat set. Sama sama 128gb. Yg A06 punya saya berasa patah patah dan ada loading klo buka aplikasi. Padahal aplikasi juga ga banyak cuma ada sosmed sama wa kantor kerjaan,negative,2024-09-20 04:58:39+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,baru beli telepon genggam 2 tapi helio g85 berasa lambat galaxy a22 g80 cepat sama 128gb a06 patah loading buka aplikasi tidak medium sosial wa kantor pekerjaan
@KardinoTao,45,Mending infinix smart8 ,neutral,2024-09-19 04:27:58+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,infinix smart8
@PENGAMAT-f8u,46,itu lah pentingnya software dalam sbuah smartphone untuk pengoptimalan performa di one ui ff max rata kanan masih dapet 60 fps padahal di miui g85 setara dgn sdm 600 san di miui lag parah mangkanya pantas kalau miui adalah software terburuk,negative,2024-09-18 10:38:12+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,software smartphone pengoptimalan performa one oi fan fiction max kanan 60 fps miui g85 setara sumber daya manusia 600 san lag parah mangkanya terburuk
@Suwarno-g8q,47,Apakah hp ini ada compass sensor?,negative,2024-11-17 05:16:47+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,handphone compass sensor
@pebriansyah330,48,Penyakit Touch nya tersedia?,negative,2024-11-15 23:17:59+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,penyakit touch nya tersedia
@SaipulIpul-w2z,49,Di tokped lumayan minggu kemaren beli 1200 udah dpt bonus charger.,positive,2024-11-12 11:50:26+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,tokped lumayan minggu kemarin beli 1200 bonus charger
@nuzulaarzety1871,50,Ada yg ram 8 gak,negative,2024-11-11 10:43:11+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,ram 8 tidak
@muhammadrafid2120,51,Nungguin yang a06s bag ,negative,2024-11-10 13:46:38+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,menunggu a06s bag
@RamanurFadhillah-pz4qr,52,Bagusan ini atau a05,neutral,2024-11-07 06:49:06+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,bagusan a05
@irvanbrawijayaxii7248,53,Baru aja beli Masih nyari cara gunain samsung knock,negative,2024-11-05 05:50:07+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,baru beli mencari samsung knock
@melianachandra6933,54,"Dpt SMS dr samsung ID, skrng A06 Ram 8gb.. Benarkah?",neutral,2024-11-05 01:58:52+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,sm dari samsung id a06 ram 8gb
@ryanbagus1008,55,genahin impactÂÂÂÂÂÂ,negative,2024-10-31 20:09:36+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,genahin impactâ â
@svnero5712,56,penyakit layar sentuh apakah masih ada...????,negative,2024-10-28 08:58:01+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,penyakit layar sentuh
@MTROFICIALHoegens,57,"Apakah ada mode game, floting windows ya teman teman",neutral,2024-10-25 21:54:40+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,mode game floting window iya teman
@nurmansyah6693,58,apa ada nfc nya,neutral,2024-10-25 12:18:17+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,nfc nya
@_DanielManurung,59,Bagusan samsung a06 atau vivo y18 ya?,neutral,2024-10-23 13:18:09+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,bagusan samsung a06 vivo y18 iya
@CakpiiCakpii-k8e,60,Orang tua ku baru beli harga nya kok cuman 1.4 y,negative,2024-10-23 06:18:38+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,orang tua ku baru beli harga nya 1 4 iya
@ekhonuralam2929,61,Barusan lihat di lajada 1.3jt,neutral,2024-10-22 10:32:37+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,barusan lihat lajada 1 3jt
@mhasan4127,62,"Kelas ini pilih yg rekom mana, Infinix Samsung Oppo redmi",neutral,2024-10-20 06:56:08+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,kelas pilih rekom infinix samsung oppo redmi
@saqadaekq,63,"nunggu 3 bulan ,turun 150-200rb . tinggal sabar nya kita",positive,2024-10-20 06:33:15+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,menunggu 3 turun 150 200rb tinggal sabar nya
@humaiyrohmahendy_,64,Buat ojol rekomen ga?,negative,2024-10-20 02:14:08+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,ojek online rekomen tidak
@JonySusanto-m6t,65,"Bg, klo terakhir ud ampe A09 lanjut nya jd A brp bg",neutral,2024-10-19 05:41:32+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,bagi a09 nya a
@ancollection8950,66,Om ada menu multi pengguna nggak,neutral,2024-10-18 12:35:47+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,om menu multi pengguna
@tasumsuntara4904,67,"Saya beli di official store Samsung nya dapat potongan harga ram 4/128 GB cmn bayar 1,463jt aja via tokped",positive,2024-10-18 02:31:17+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,beli official store samsung nya potongan harga ram 4 128 gb bayar 1 463jt via tokped
@zhaozenpai3860,68,Maaf untuk ojol gps ny gmn ya gan?,negative,2024-10-17 19:22:27+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,maaf ojek online global positioning system nya iya juragan
@edysetyawan8671,69,Harusnya sih 6/128 GB ®,negative,2024-10-17 07:34:03+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,sih 6 128 gb
@TuanZein933,70,Saran ambil ini atau yg lain untuk harga di bawah 2juta,neutral,2024-10-16 15:49:48+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,saran ambil harga 2juta
@Hendra-z5s,71,Ngicar stereo nya untuk live streaming,neutral,2024-10-16 14:59:46+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,ngicar stereo nya live streaming
@akangflint2534,72,Anjay c babeh make hp iyeu,negative,2024-10-16 06:28:29+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,anjir c ayah make handphone iyeu
@YogaracerRacercafer,73,Kalo boleh tau samsung a06 ini OS nya berapa. Saolnya buat ngojol ÂÂÂ,negative,2024-10-13 08:02:41+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,samsung a06 o nya saolnya ngojol â
@rochmahariati7410,74,apa ada perekam layar bang?,negative,2024-10-12 07:00:26+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,perekam layar bang
@husnimubarak2970,75,A01 nyimak,neutral,2024-10-09 15:29:28+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,a01 menyimak
@ekoristiyaningtiyas8007,76,Ada NFC gak,negative,2024-10-08 16:30:38+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,nfc tidak
@luckymohammed1658,77,Nunggu samsung A06s keluar baru beli ,neutral,2024-10-08 00:25:38+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,menunggu samsung a06s baru beli
@ArdianPradanaKusuma,78,Aku masih pake Samsung A11 3+4/32 dari 2021,neutral,2024-10-06 07:59:06+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,pakai samsung a11 3 4 32 dari 2021
@kxntolicious,79,A06s blm ya?,negative,2024-10-05 00:10:07+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,a06s belum iya
@rhendymxchanel6694,80,Apakah hp ini ada kw nya,negative,2024-10-03 17:48:03+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,handphone imitasi nya
@nrds976,81,Seperti a10s tapi versi 2024 speknyaÂÂÂ¿,neutral,2024-10-03 09:47:31+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,a10s tapi versi 2024 speknyaâ â
@lutfie9516,82,Yang pake a05 series gimana? ada masalah layar freeze?,negative,2024-10-02 15:58:00+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,pakai a05 series masalah layar freeze
@Bowomgl,83,Saya Ambil 2. Samsung A.54. Dan Samsung A.05. MantapÃ¢ÂÂ¤,positive,2024-09-30 16:20:29+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,ambil 2 samsung a 54 05 mantapã â
@4SLBNW3,84,Ada rekam layarnya g bang?,neutral,2024-09-30 01:32:58+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,rekam layarnya tidak bang
@luckmanyo,85,"Baru beli untuk orang tua karena ada,potongan sampai sama dengan harga retail A05. Butuh konfirmasi soal update software itu total 4 tahun dengan 2x upgrade os, atau total 6 tahun dengan 2x upgrade+4tahun software update",negative,2024-09-28 21:58:19+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,baru beli orang tua potongan sama harga retail a05 butuh konfirmasi pembaruan software total 4 kali peningkatan o 6
@gilabelanja4456,86,Pertanyaannya baterainya cepat panas ga seperti Samsung A05 yg banyak dicaci maki di group facebook dan input chargingnya benar 25 watt ga atau dibatasi jadi lama ngechargenya?,negative,2024-09-28 04:12:57+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,pertanyaannya baterainya cepat panas tidak samsung a05 dicaci maki grup facebook input chargingnya 25 watt dibatasi lama ngechargenya
@trisuningsih4314,87,"eh mau nanya dong , ini emang suara samsung a06 kecil ?",negative,2024-09-28 04:02:54+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,eh suara samsung a06
@rinanose1814,88,"Baru beli kmren dengan harga 1,699 ram5/128",negative,2024-09-27 15:38:48+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,baru beli kemarin harga 1 699 ram5 128
@mochza9800,89,Memori internal apa bisa di gunakan untuk menambah ram (ram plus)?,neutral,2024-09-26 23:26:15+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,memori internal menambah ram plus
@gandungirfanto3636,90,"Saya baru beli online di official store Samsung, masih barusan dikirim jadi belum saya terima. Pertanyaannya, layarnya sdh ada anti gores atau belum?",neutral,2024-09-26 15:56:56+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,baru beli online official store samsung barusan dikirim belum terima pertanyaannya layarnya anti gore
@choiyeonbin8072,91,saya lihat di GSMArena kayaknya sama a05 sama persis. seperti kayak poco c65 sama redmi 13c,neutral,2024-09-26 09:17:13+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,lihat gsmarena kayaknya sama a05 persis kayak poco c65 redmi 13c
@Oz23999,92,"Buat ojol cocok enggak iya bang,?",positive,2024-09-26 09:14:40+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,ojek online cocok tidak iya bang
@HuHi-m7q,93,Harga membawa rupa,neutral,2024-09-24 05:33:44+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,harga membawa rupa
@ardiansyahokta6001,94,Ada kyknya bntr lg yg A06s,negative,2024-09-21 09:29:20+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,sebentar a06s
@AngghaCahyandharuKurniawan,95,nunggu yang versi S upgradenya apa aja,negative,2024-09-20 16:34:19+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,menunggu versi si upgradenya
@servicehpciamis1970,96,tetep gak baik ngecas di tinggal tidur.,negative,2024-09-20 10:04:54+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,tidak ngecas tinggal tidur
@ndsaputro437,97,256GB rekomendasi x ya ÂÂÂÃ¢ÂÂÃ¯Â¸Â,positive,2024-09-20 06:13:52+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,256gb rekomendasi x iya â ã
@purimutia2192,98,Cocok kayaknya buat ortu utk penggunaan komunikasi dan foto2 pribadi,positive,2024-11-14 11:57:41+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,cocok kayaknya orang tua penggunaan komunikasi foto pribadi
@AjiPoetra-v4c,99,Kalau untuk keperluan harian sudah cukup wajib beli nich cek out ah,negative,2024-11-08 05:28:24+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,keperluan harian wajib beli nih cek out ah
@srimualifah4776,100,Alhamdulillah sudah kebeli...cocok lah buat saya sebagai emak2...gak kawatir lagi mau nyimpen saldo di dompet digital....btw saya dpt adapter dan kartu XL 35gb tp gak ada kabel datanya...,positive,2024-10-28 04:05:12+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,alhamdulillah kebeli cocok emak tidak kawatir menyimpan saldo dompet digital by the way adapter kartu xl 35gb kabel datanya
@omnick69,101,Bagus untuk mobile banking ini. Data2 aman.,positive,2024-10-26 09:33:09+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,bagus mobile banking data aman
@jukiy67,102,samsung gilaaaa,negative,2024-10-23 17:35:29+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,samsung gila
@niiiaes,103,Thank u imma buy this one for my mum then wkwk,positive,2024-10-21 16:45:16+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,terima kasih imma buy this one for my mum then wkwk
@BarinEdiSetiawan-q7r,104,Akhirnya udah kebeli..Ã¢ÂÂ¤,negative,2024-10-16 05:24:22+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,kebeli ã â
@AdesignArtwork,105,Aku bru beli Hp ini keren bgus mntap ada sidik jarinya juga mntap lahÃ¢ÂÂ¤Ã¢ÂÂ¤Ã¢ÂÂ,positive,2024-10-15 04:26:47+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,baru beli handphone keren bagus mntap sidik jarinya ã â
@sadidatunnajah910,106,Nonton ini pakai samsunga06Ã¢ÂÂ¤,neutral,2024-10-12 17:07:53+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,menonton pakai samsunga06ã â
@massferdy,107,"Cocok buat ibu sm bapak saya, yg make hp cuma buat WA sama nyetel lagu2 Ebiet & Koes Plus di youtube ",positive,2024-10-11 07:25:58+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,cocok sama make handphone wa menyetel lagu ebiet koes plus youtube
@yeremiakristiantoadi2852,108,"Gw 4 bulan pke A05 puas bnget buat go car, btre tahan lama gps ga pernah ada kendala..",positive,2024-10-10 03:48:35+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,gue 4 pakai a05 puas banget go car btre tahan lama global positioning system tidak kendala
@papahmuda8966,109,"Baru beli tadi buat adek 4/128 harga 1.7 + 100rb buat anti gores depan belakang,total 1.8",neutral,2024-10-07 04:12:08+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,baru beli adik 4 128 harga 1 7 100rb anti gore total 8
@user-sf1rp7lv3o,110,Untuk ibu-ibu yang cuman pakai media sosial & kamera untuk sehari-hari oke gak ya? Atau ada saran lain?,neutral,2024-10-03 03:54:28+00:00,0,Galaxy A06,Samsung,Entry-Level,24-Nov,pakai medium sosial kamera sehari oke tidak iya saran
